Window_Size,Sample_Count_Mio,Frequency,5%%-Quantile,95%%-Quantile,First_Lower_Outlier,First_Upper_Outlier,Std_Deviation,Mean,0.1%%-Quantile,99.9%%-Quantile,0.01%%-Quantile,99.99%%-Quantile,0.001%%-Quantile,99.999%%-Quantile
100,164,40,0.01482,0.11478,,0.14151,0.030879141955547914,0.05849386207431702,0.002,0.17827,0.00039,0.2278,0.0,0.28184
100,164,41,0.01598,0.1227,,0.15155,0.03287329445650008,0.0627062999150859,0.00223,0.18668,0.00071,0.21609,0.00023,0.24388
100,164,42,0.01487,0.11552,,0.14229,0.031024155802116513,0.05877739845166965,0.00197,0.17667,0.00022,0.20552,0.0,0.23781
100,164,43,0.01597,0.12281,,0.15144,0.032950330064648696,0.06268824631434193,0.00223,0.18856,0.0007,0.22238,0.00022,0.27167
100,164,44,0.01478,0.11475,,0.14149,0.03080943632178213,0.05843447488233042,0.00196,0.17535,0.00026,0.20365,0.0,0.23304
100,164,45,0.01578,0.12123,,0.1497,0.03249137939417016,0.061932519788337026,0.0022,0.18458,0.00069,0.21417,0.00022,0.24411
100,164,46,0.01458,0.11336,,0.13966,0.03044858822248168,0.05768609666019699,0.00193,0.17364,0.00021,0.20171,0.0,0.22976
100,164,47,0.0156,0.11996,,0.148,0.03215386803421595,0.0612482018856901,0.00218,0.1829,0.00069,0.21194,0.00021,0.23932
100,164,48,0.01442,0.11244,,0.13856,0.030228505554146013,0.057173382198883724,0.00191,0.17247,0.00025,0.20044,0.0,0.22844
100,164,49,0.01554,0.11974,,0.14767,0.032140410673119006,0.061092537789193734,0.00217,0.18392,0.00069,0.21911,0.00022,0.29493
100,164,50,0.004,0.1275,,0.1551,0.039403855232722426,0.05164927098476661,0.0001,0.2201,0.0,0.2786,0.0,0.4253
