Sample_ID,First_Match_Count,Sample_In_First_Matches,Sequence_Length,Sample_Hashes,Sample_JSI,Sample_Score,Top_JSI,Top_Score
Q9LVM5,1,True,324,87,1,87,1,87
Q9M336,1,True,296,80,1,80,1,80
Q9M903,1,True,479,127,1,127,1,127
Q9MA98,1,True,410,111,1,111,1,111
Q9S7B5,1,True,526,140,1,140,1,140
Q9SF86,1,True,418,111,1,111,1,111
Q9SMH5,1,True,4334,272,1,272,1,272
Q9SSA8,1,True,358,95,1,95,1,95
Q9SU79,1,True,533,144,1,144,1,144
Q9XHV0,1,True,320,84,1,84,1,84
Q9ZVQ3,1,True,221,60,1,60,1,60
Q9ZW84,1,True,256,66,1,66,1,66
A2WKP3,2,True,153,40,1,40,1,40
A2WWU2,2,True,139,36,1,36,1,36
B1NWD0,27,True,353,96,1,96,1,96
B9G5N1,1,True,844,227,1,227,1,227
E2IHE0,1,True,808,216,1,216,1,216
F4HQD4,1,True,831,222,1,222,1,222
F4IV99,1,True,1724,272,1,272,1,272
M4HY05,1,True,857,223,1,223,1,223
O24282,2,True,131,34,1,34,1,34
O81316,1,True,558,145,1,145,1,145
P04045,1,True,966,260,1,260,1,260
P09678,1,True,152,40,1,40,1,40
P22197,1,True,358,96,1,96,1,96
P27608,1,True,542,143,1,143,1,143
P29756,1,True,492,131,1,131,1,131
P37841,1,True,265,66,1,66,1,66
P86799,1,True,13,33,1,33,1,33
P93841,1,True,401,107,1,107,1,107
P94017,1,True,692,182,1,182,1,182
Q2QMN7,1,True,484,129,1,129,1,129
Q39065,1,True,170,45,1,45,1,45
Q42966,1,True,348,91,1,91,1,91
Q5C9L7,1,True,350,95,1,95,1,95
Q6QPM2,1,True,211,56,1,56,1,56
Q7Y1C5,1,True,1151,272,1,272,1,272
Q8VYN6,1,True,537,143,1,143,1,143
Q8VYU3,1,True,456,122,1,122,1,122
Q944N8,1,True,418,112,1,112,1,112
Q94BZ7,1,True,732,193,1,193,1,193
Q94KJ7,1,True,592,153,1,153,1,153
Q9ATY5,1,True,1479,272,1,272,1,272
Q9FFQ5,1,True,308,81,1,81,1,81
Q9FLC8,1,True,529,143,1,143,1,143
Q9FXH5,1,True,393,103,1,103,1,103
Q9LFF6,1,True,138,36,1,36,1,36
Q9LXL5,1,True,808,216,1,216,1,216
Q9SAF1,1,True,427,115,1,115,1,115
Q9SCV9,1,True,856,227,1,227,1,227
Q9STK6,1,True,516,139,1,139,1,139
Q9STS3,1,True,579,154,1,154,1,154
Q9ZSI1,1,True,255,68,1,68,1,68
Q9ZUB3,1,True,334,89,1,89,1,89
Q9ZUR7,1,True,468,121,1,121,1,121
A0A096SRM5,1,True,475,126,1,126,1,126
A0A0P0XM10,1,True,496,132,1,132,1,132
A0A178VE74,1,True,362,96,1,96,1,96
A4D998,1,True,223,60,1,60,1,60
A6MMU9,2,True,120,28,1,28,1,28
B9FAF3,1,True,1080,272,1,272,1,272
B9SL58,1,True,488,129,1,129,1,129
C5X2M4,1,True,352,95,1,95,1,95
D2XNQ8,1,True,478,128,1,128,1,128
D7KWY6,1,True,256,65,1,65,1,65
E2IUA9,1,True,765,204,1,204,1,204
M4I1C6,1,True,150,40,1,40,1,40
O04058,1,True,667,179,1,179,1,179
O22874,1,True,253,66,1,66,1,66
O48882,1,True,330,88,1,88,1,88
O65740,1,True,74,19,1,19,1,19
O81122,1,True,741,198,1,198,1,198
O82255,1,True,102,26,1,26,1,26
O82500,1,True,1095,272,1,272,1,272
P00223,1,True,97,25,1,25,1,25
P05434,1,True,169,44,1,44,1,44
P05478,1,True,161,44,1,44,1,44
P17783,1,True,347,91,1,91,1,91
P19251,1,True,586,156,1,156,1,156
P31752,1,True,590,159,1,159,1,159
P34899,1,True,518,137,1,137,1,137
P52571,1,True,202,55,1,55,1,55
P56344,1,True,236,64,1,64,1,64
Q04648,1,True,577,155,1,155,1,155
Q0DY81,1,True,1155,272,1,272,1,272
Q0JC10,2,True,398,108,1,108,1,108
Q0JNS6,22,True,149,40,1,40,1,40
Q0JR55,1,True,425,113,1,113,1,113
Q0WNR2,1,True,441,117,1,117,1,117
Q0WTF4,1,True,501,133,1,133,1,133
Q2EEX4,1,True,471,126,1,126,1,126
Q2QYE1,1,True,451,118,1,118,1,118
Q39769,1,True,340,91,1,91,1,91
Q3LSN4,1,True,376,99,1,99,1,99
Q42686,1,True,373,99,1,99,1,99
Q43064,1,True,391,104,1,104,1,104
Q43075,1,True,728,192,1,192,1,192
Q43321,1,True,440,116,1,116,1,116
Q43617,1,True,423,112,1,112,1,112
Q43645,1,True,220,60,1,60,1,60
Q5QMT0,1,True,516,139,1,139,1,139
Q65WY8,1,True,640,171,1,171,1,171
Q6GKX5,1,True,160,44,1,44,1,44
Q6NLP2,1,True,520,138,1,138,1,138
Q6ZGY0,1,True,596,157,1,157,1,157
Q75LJ3,2,True,358,96,1,96,1,96
Q75LU8,1,True,225,60,1,60,1,60
Q7XH05,1,True,1358,272,1,272,1,272
Q7XUJ2,1,True,684,183,1,183,1,183
Q7Y0W3,1,True,341,92,1,92,1,92
Q851K1,1,True,229,62,1,62,1,62
Q85WW5,1,True,353,94,1,94,1,94
Q8RXA5,1,True,463,123,1,123,1,123
Q8S8N4,1,True,633,166,1,166,1,166
Q94B55,1,True,456,121,1,121,1,121
Q9C6V3,1,True,339,92,1,92,1,92
Q9C7I8,1,True,188,52,1,52,1,52
Q9FLB6,1,True,217,59,1,59,1,59
Q9FMA6,1,True,223,60,1,60,1,60
Q9LKP7,1,True,391,104,1,104,1,104
Q9LLT1,1,True,367,99,1,99,1,99
Q9LN49,1,True,516,136,1,136,1,136
Q9LRE5,1,True,429,115,1,115,1,115
Q9MUJ9,1,True,717,191,1,191,1,191
Q9SFF4,1,True,629,167,1,167,1,167
Q9SFF6,1,True,415,111,1,111,1,111
Q9SMV7,1,True,1109,272,1,272,1,272
Q9ZUM9,1,True,398,107,1,107,1,107
Q9ZW28,1,True,225,60,1,60,1,60
A0A072VHJ1,1,True,481,128,1,128,1,128
A2X5B4,1,True,319,85,1,85,1,85
A2X9W8,2,True,262,68,1,68,1,68
A2Y609,7,True,149,40,1,40,1,40
A4IJ27,1,True,473,128,1,128,1,128
A4QKZ7,2,True,2293,272,1,272,1,272
A7Y3H4,1,True,508,135,1,135,1,135
A8J353,1,True,244,65,1,65,1,65
B9N9Y7,1,True,541,144,1,144,1,144
F4ISE2,1,True,72,20,1,20,1,20
O22647,1,True,145,39,1,39,1,39
O48659,1,True,308,82,1,82,1,82
O81980,1,True,172,46,1,46,1,46
P0DKC7,2,True,299,80,1,80,1,80
P20230,4,True,47,10,1,10,1,10
P46267,1,True,339,90,1,90,1,90
P93253,1,True,485,130,1,130,1,130
Q09G65,1,True,512,135,1,135,1,135
Q09MB8,1,True,1829,272,1,272,1,272
Q2L911,2,True,133,36,1,36,1,36
Q33C57,4,True,85,19,1,19,1,19
Q40520,1,True,222,60,1,60,1,60
Q6EW59,3,True,236,63,1,63,1,63
Q6TND0,1,True,512,136,1,136,1,136
Q6ZBS8,1,True,389,102,1,102,1,102
Q75K81,1,True,703,187,1,187,1,187
Q7G8Y5,1,True,103,25,1,25,1,25
Q7X660,1,True,712,192,1,192,1,192
Q85UZ8,9,True,86,24,1,24,1,24
Q8GWP3,1,True,145,39,1,39,1,39
Q8RYJ9,1,True,151,39,1,39,1,39
Q9LN27,1,True,218,60,1,60,1,60
Q9MUY9,1,True,511,134,1,134,1,134
Q9SS00,1,True,578,153,1,153,1,153
Q9TIS6,1,True,509,135,1,135,1,135
Q9XGX8,1,True,93,24,1,24,1,24
Q9ZSE4,1,True,306,81,1,81,1,81
