Sample_ID,First_Match_Count,Sample_In_First_Matches,Sequence_Length,Sample_Hashes,Sample_JSI,Sample_Score,Top_JSI,Top_Score
A0A0P0XM10,1825,True,496,34,1,34,1,34
A0A178VE74,996,True,362,25,1,25,1,25
A4D998,1089,True,223,15,1,15,1,15
A6MMU9,792,True,120,8,1,8,1,8
B9FAF3,116,True,1080,72,1,72,1,72
B9SL58,871,True,488,33,1,33,1,33
C5X2M4,1183,True,352,24,1,24,1,24
D2XNQ8,1052,True,478,32,1,32,1,32
D7KWY6,931,True,256,18,1,18,1,18
E2IUA9,226,True,765,51,1,51,1,51
M4I1C6,971,True,150,10,1,10,1,10
O04058,242,True,667,45,1,45,1,45
O22874,899,True,253,17,1,17,1,17
O48882,1020,True,330,22,1,22,1,22
O65740,635,True,74,5,1,5,1,5
O81122,317,True,741,50,1,50,1,50
O82255,1028,True,102,7,1,7,1,7
O82500,58,True,1095,73,1,73,1,73
P00223,1028,True,97,7,1,7,1,7
P05434,1103,True,169,12,1,12,1,12
P05478,1219,True,161,11,1,11,1,11
P17783,1183,True,347,24,1,24,1,24
P19251,440,True,586,40,1,40,1,40
P31752,440,True,590,40,1,40,1,40
P34899,864,True,518,35,1,35,1,35
P52571,1011,True,202,14,1,14,1,14
P56344,957,True,236,16,1,16,1,16
Q04648,446,True,577,39,1,39,1,39
Q0DY81,33,True,1155,77,1,77,1,77
Q0JC10,916,True,398,27,1,27,1,27
Q0JNS6,971,True,149,10,1,10,1,10
Q0JR55,632,True,425,29,1,29,1,29
Q0WNR2,765,True,441,30,1,30,1,30
Q0WTF4,1825,True,501,34,1,34,1,34
Q2EEX4,1052,True,471,32,1,32,1,32
Q2QYE1,749,True,451,31,1,31,1,31
Q39769,863,True,340,23,1,23,1,23
Q3LSN4,981,True,376,26,1,26,1,26
Q42686,996,True,373,25,1,25,1,25
Q43064,916,True,391,27,1,27,1,27
Q43075,294,True,728,49,1,49,1,49
Q43321,765,True,440,30,1,30,1,30
Q43617,632,True,423,29,1,29,1,29
Q43645,1089,True,220,15,1,15,1,15
Q5QMT0,864,True,516,35,1,35,1,35
Q65WY8,228,True,640,43,1,43,1,43
Q6GKX5,1219,True,160,11,1,11,1,11
Q6NLP2,864,True,520,35,1,35,1,35
Q6ZGY0,440,True,596,40,1,40,1,40
Q75LJ3,1183,True,358,24,1,24,1,24
Q75LU8,1089,True,225,15,1,15,1,15
Q7XH05,15,True,1358,91,1,91,1,91
Q7XUJ2,273,True,684,46,1,46,1,46
Q7Y0W3,863,True,341,23,1,23,1,23
Q851K1,957,True,229,16,1,16,1,16
Q85WW5,1183,True,353,24,1,24,1,24
Q8RXA5,749,True,463,31,1,31,1,31
Q8S8N4,228,True,633,43,1,43,1,43
Q94B55,749,True,456,31,1,31,1,31
Q9C6V3,863,True,339,23,1,23,1,23
Q9C7I8,989,True,188,13,1,13,1,13
Q9FLB6,1089,True,217,15,1,15,1,15
Q9FMA6,1089,True,223,15,1,15,1,15
Q9LKP7,916,True,391,27,1,27,1,27
Q9LLT1,996,True,367,25,1,25,1,25
Q9LN49,864,True,516,35,1,35,1,35
Q9LRE5,632,True,429,29,1,29,1,29
Q9MUJ9,247,True,717,48,1,48,1,48
Q9SFF4,345,True,629,42,1,42,1,42
Q9SFF6,689,True,415,28,1,28,1,28
Q9SMV7,37,True,1109,74,1,74,1,74
Q9ZUM9,916,True,398,27,1,27,1,27
Q9ZW28,1089,True,225,15,1,15,1,15
A0A072VHJ1,871,True,481,33,1,33,1,33
A2X5B4,1020,True,319,22,1,22,1,22
A2X9W8,931,True,262,18,1,18,1,18
A2Y609,971,True,149,10,1,10,1,10
A4IJ27,1052,True,473,32,1,32,1,32
A4QKZ7,27,True,2293,153,1,153,1,153
A7Y3H4,1825,True,508,34,1,34,1,34
A8J353,899,True,244,17,1,17,1,17
B9N9Y7,489,True,541,37,1,37,1,37
F4ISE2,635,True,72,5,1,5,1,5
O22647,971,True,145,10,1,10,1,10
O48659,764,True,308,21,1,21,1,21
O81980,1103,True,172,12,1,12,1,12
P0DKC7,696,True,299,20,1,20,1,20
P20230,330,True,47,4,1,4,1,4
P46267,863,True,339,23,1,23,1,23
P93253,871,True,485,33,1,33,1,33
Q09G65,864,True,512,35,1,35,1,35
Q09MB8,9,True,1829,122,1,122,1,122
Q2L911,1218,True,133,9,1,9,1,9
Q33C57,1095,True,85,6,1,6,1,6
Q40520,1089,True,222,15,1,15,1,15
Q6EW59,957,True,236,16,1,16,1,16
Q6TND0,864,True,512,35,1,35,1,35
Q6ZBS8,981,True,389,26,1,26,1,26
Q75K81,225,True,703,47,1,47,1,47
Q7G8Y5,1028,True,103,7,1,7,1,7
Q7X660,247,True,712,48,1,48,1,48
Q85UZ8,1095,True,86,6,1,6,1,6
Q8GWP3,971,True,145,10,1,10,1,10
Q8RYJ9,1219,True,151,11,1,11,1,11
Q9LN27,1089,True,218,15,1,15,1,15
Q9MUY9,864,True,511,35,1,35,1,35
Q9SS00,446,True,578,39,1,39,1,39
Q9TIS6,1825,True,509,34,1,34,1,34
Q9XGX8,1028,True,93,7,1,7,1,7
Q9ZSE4,764,True,306,21,1,21,1,21
